carat,cut,color,clarity,depth,table,price,x,y,z
2.02,Very Good,I,SI2,61.9,60,14715,8.12,8.06,5.01
0.32,Ideal,D,SI1,61.5,56,756,4.42,4.39,2.71
1.05,Ideal,G,VVS2,62.5,55,8645,6.49,6.53,4.07
0.3,Very Good,G,VVS2,63.2,57,878,4.28,4.23,2.69
1.01,Very Good,E,SI1,58.6,58,4766,6.52,6.58,3.84
1.05,Ideal,D,VVS2,61.9,54,11196,6.53,6.55,4.05
0.32,Premium,G,VS2,62.3,58,561,4.36,4.41,2.73
0.73,Ideal,E,VS2,62.4,57,3201,5.75,5.79,3.6
0.31,Ideal,G,VVS1,60.9,55,789,4.4,4.43,2.69
1.01,Premium,F,VS2,58.9,58,6271,6.59,6.51,3.86
0.41,Ideal,F,VVS1,61.2,57,1205,4.79,4.85,2.95
0.41,Ideal,F,VS1,61.3,55,1076,4.83,4.79,2.95
1.6,Very Good,J,SI1,62.7,58,7550,7.37,7.41,4.63
1.53,Premium,E,SI2,58.9,59,8996,7.63,7.55,4.47
0.3,Good,G,VVS1,64,57,878,4.27,4.23,2.72
0.5,Premium,H,SI1,62.9,58,1172,5.04,5.01,3.16
0.72,Ideal,H,VVS2,61.6,56,3334,5.75,5.77,3.55
0.7,Fair,D,SI1,66.2,57,2550,5.56,5.41,3.63
1.21,Very Good,J,VS2,61.5,58,5211,6.85,6.9,4.23
0.41,Premium,G,VS2,59.2,58,1061,4.83,4.8,2.85
0.53,Very Good,D,SI2,60.2,56,1307,5.23,5.26,3.16
1.51,Very Good,F,VS1,60,60,16402,7.39,7.42,4.44
0.57,Ideal,F,VS1,61.9,56,2052,5.39,5.3,3.31
0.38,Very Good,G,VS2,59.7,62,715,4.66,4.68,2.79
0.9,Good,E,VVS1,63.4,60,7214,6.06,6.11,3.86
0.38,Very Good,H,VS2,62.8,56,700,4.59,4.62,2.89
0.81,Ideal,H,SI1,62.8,57,2482,5.95,5.92,3.73
0.32,Premium,G,IF,61,59,952,4.41,4.38,2.68
0.3,Ideal,F,VS2,62.8,55,776,4.33,4.27,2.7
0.51,Ideal,F,IF,62.5,54,2730,5.12,5.16,3.21
1.2,Ideal,I,SI1,62.3,53,5694,6.8,6.85,4.25
0.83,Fair,H,SI2,65.1,59,2133,5.84,5.81,3.79
0.3,Ideal,F,SI1,62.3,54,500,4.27,4.3,2.67
0.73,Very Good,G,VVS1,62.9,59,3606,5.7,5.78,3.61
1.05,Very Good,H,VS2,63.2,58,5292,6.46,6.39,4.06
0.31,Ideal,G,IF,61.8,54,891,4.36,4.38,2.7
1.5,Ideal,F,SI1,61.8,56,12389,7.27,7.34,4.52
1.5,Premium,D,I1,62.4,60,3780,7.37,7.19,4.54
2.15,Ideal,I,SI1,62.5,57,14534,8.2,8.16,5.11
0.5,Very Good,G,SI2,63.3,57,1063,5.03,4.99,3.17
0.7,Ideal,G,SI2,61.4,57,2232,5.69,5.74,3.51
1.71,Premium,H,VS2,62.5,58,13376,7.64,7.52,4.74
1.5,Good,H,VS2,64.3,60,8165,7.16,7.08,4.58
1.05,Ideal,D,SI1,62.8,57,5914,6.46,6.48,4.06
1.13,Fair,H,SI1,65.3,59,5771,6.52,6.44,4.23
0.78,Very Good,F,VS1,63.3,56,3563,5.84,5.89,3.71
1.2,Premium,H,VS1,61.7,59,4838,6.78,6.74,4.17
0.7,Ideal,I,SI1,61.2,55,2343,5.71,5.76,3.51
2.11,Premium,J,SI2,60.7,60,12440,8.2,8.27,5
1.09,Ideal,I,VS2,61.9,56,5421,6.62,6.67,4.09
1.3,Premium,J,SI2,61.1,61,5140,7,6.95,4.26
0.73,Premium,F,I1,59.3,61,1207,5.88,5.75,3.46
1.16,Good,H,SI1,64.2,58.6,5314,6.61,6.66,4.26
1.16,Premium,H,SI1,61.2,58,5454,6.76,6.81,4.15
0.32,Very Good,G,VS2,62.3,55,544,4.38,4.41,2.73
0.9,Good,H,SI2,61.3,61,3348,6.11,6.16,3.76
1.2,Premium,I,VS2,62.6,61,5645,6.76,6.68,4.21
0.36,Ideal,D,VVS2,61.9,53,957,4.57,4.6,2.84
2.05,Ideal,J,SI2,61.6,55,12654,8.18,8.11,5.02
0.51,Premium,G,VS1,61.1,58,1656,5.12,5.19,3.15
1.01,Premium,G,SI1,61,59,4785,6.45,6.51,3.95
0.8,Good,E,SI2,57.7,65,2640,6.13,6.08,3.52
0.31,Premium,F,VS2,62.9,59,802,4.32,4.27,2.7
0.31,Ideal,E,VS1,62,55,800,4.35,4.38,2.7
0.57,Ideal,E,VS1,61.6,55,1884,5.32,5.36,3.29
0.97,Premium,F,SI2,58.9,58,4020,6.51,6.47,3.82
1.2,Premium,H,VVS2,60,60,5174,6.86,6.78,4.09
0.5,Ideal,E,VS2,61.4,56,1629,5.12,5.08,3.13
0.72,Good,H,VS1,60,61.2,2637,5.74,5.83,3.47
0.45,Fair,E,VS2,65.8,58,951,4.81,4.74,3.14
0.3,Ideal,I,SI1,61.7,57,422,4.3,4.32,2.66
2,Fair,G,SI2,65.1,57,11355,7.84,7.78,5.09
1.04,Ideal,H,SI2,61.7,55,4557,6.49,6.53,4.02
1.26,Very Good,G,VVS2,62.1,58,9158,6.92,6.83,4.27
0.9,Ideal,E,SI1,59.1,59,4439,6.31,6.37,3.75
1.01,Very Good,G,VS1,60.9,55,7179,6.46,6.51,3.95
0.71,Ideal,D,SI2,61.3,57,2610,5.71,5.78,3.52
0.36,Premium,E,SI2,58.5,59,475,4.67,4.63,2.72
0.41,Ideal,D,VS1,61.3,54,1230,4.83,4.8,2.95
0.41,Very Good,G,VS1,61.7,57,899,4.75,4.78,2.94
1.01,Ideal,F,VS1,62.2,57,7122,6.38,6.48,4
1.01,Good,F,SI2,63.2,59,4416,6.35,6.38,4.02
0.7,Fair,J,SI1,63,57,1723,5.55,5.6,3.51
1,Fair,H,SI2,66.1,56,2856,6.21,5.97,4.04
0.51,Good,E,VS2,56.6,59,1781,5.37,5.26,3.01
0.41,Ideal,J,VS1,62.7,54,648,4.75,4.79,2.99
0.31,Good,I,VS1,63.8,56,489,4.27,4.32,2.74
0.3,Premium,I,VS1,60.3,58,608,4.34,4.32,2.61
0.71,Ideal,D,SI1,62.3,56,3316,5.72,5.7,3.56
2,Good,I,SI2,64.2,52,11400,7.91,7.88,5.07
0.33,Ideal,F,VVS1,62.5,54,880,4.43,4.46,2.78
0.83,Ideal,F,VS1,62,57,4030,6.02,5.97,3.72
0.81,Fair,F,SI2,68.8,79,2301,5.26,5.2,3.58
0.8,Ideal,G,VS2,61.2,57,2969,6.02,6.07,3.7
0.31,Ideal,D,VS2,62.5,56,734,4.31,4.36,2.71
0.32,Ideal,G,VS1,62,56,645,4.35,4.39,2.71
1.02,Premium,D,SI2,59.3,60,4583,6.56,6.52,3.88
0.77,Ideal,I,SI1,61.5,56,2946,5.9,5.93,3.64
0.52,Ideal,D,VVS2,61.5,55,3284,5.19,5.22,3.2
0.27,Very Good,D,VS1,59.9,58,470,4.17,4.24,2.52
0.4,Very Good,E,SI2,63.1,57,798,4.72,4.7,2.97
1,Premium,H,SI1,61.3,60,4788,6.38,6.35,3.9
0.32,Good,D,SI2,63.4,56,477,4.36,4.38,2.77
0.46,Ideal,H,IF,62.2,55,1450,4.94,4.99,3.09
0.51,Very Good,G,VS2,62.4,57,1438,5.09,5.11,3.18
0.35,Ideal,E,VVS1,60.7,57,1044,4.53,4.57,2.76
0.54,Ideal,D,SI1,60.7,56,1662,5.27,5.3,3.21
0.72,Ideal,F,SI2,62,55,2224,5.75,5.79,3.58
0.72,Premium,D,SI2,60.5,58,2670,5.88,5.79,3.53
0.71,Very Good,I,VVS1,63.5,57,2456,5.65,5.68,3.6
0.27,Ideal,G,VS2,61.5,55,490,4.18,4.21,2.58
0.41,Very Good,H,SI1,62.8,56,683,4.72,4.77,2.98
0.61,Ideal,G,VS1,60.9,57,2167,5.46,5.5,3.34
2.28,Ideal,J,SI1,61.6,57,12755,8.5,8.43,5.21
0.25,Very Good,E,VVS2,63,55,575,4,4.03,2.53
1.51,Ideal,F,SI1,61.7,56,13334,7.35,7.41,4.55
1.01,Fair,F,VS2,61.1,60,6271,6.49,6.4,3.94
1.72,Good,D,SI2,63.4,62,12248,7.53,7.59,4.79
1.18,Premium,I,SI2,62.9,58,3925,6.77,6.7,4.24
0.23,Ideal,F,VVS2,61.4,57,538,3.96,3.99,2.44
1.04,Ideal,G,VVS1,62.5,55,8268,6.54,6.45,4.06
1.5,Good,G,VS2,63.6,60,12787,7.24,7.2,4.59
0.54,Ideal,G,VS1,61.3,57,1754,5.25,5.28,3.23
0.71,Ideal,E,VS2,61.8,57,2654,5.73,5.7,3.53
0.3,Very Good,H,VVS1,62.3,56,626,4.26,4.31,2.67
1.2,Premium,D,SI2,60.2,60,4203,6.94,6.81,4.14
0.7,Very Good,H,VS1,60.3,63,2399,5.77,5.73,3.47
1.24,Ideal,J,SI1,61.8,57,5000,6.92,6.86,4.26
1.62,Premium,F,VS1,61.3,57,16112,7.6,7.55,4.64
0.61,Ideal,G,VVS1,62.7,58,2544,5.39,5.43,3.39
0.3,Ideal,H,IF,62,55,764,4.33,4.35,2.69
1.01,Good,F,VS1,63.3,60,6999,6.32,6.35,4.01
0.71,Very Good,F,SI1,62.8,59,2427,5.62,5.66,3.54
0.81,Good,D,SI2,63.8,55,2604,5.91,5.89,3.77
1.01,Very Good,E,VS1,62.6,57,7306,6.28,6.37,3.96
1.04,Premium,E,SI2,60.1,60,4436,6.53,6.51,3.92
0.31,Good,D,SI2,63.6,54,593,4.34,4.31,2.75
0.31,Ideal,D,VS2,61.8,57,942,4.38,4.36,2.7
0.53,Ideal,J,SI1,61.6,55,999,5.2,5.23,3.21
0.71,Good,E,SI1,63.2,57,2494,5.67,5.72,3.6
0.7,Very Good,F,SI1,62.8,57,2250,5.61,5.66,3.54
1.08,Ideal,F,VS2,61.9,55,7110,6.58,6.64,4.09
0.34,Ideal,I,VS1,62,54,501,4.49,4.51,2.79
1.5,Good,G,VS1,63.8,58,13596,7.12,7.21,4.57
0.8,Very Good,E,SI1,63.1,56,3050,5.93,5.83,3.71
0.9,Ideal,F,VS1,61.6,56,5386,6.2,6.23,3.83
0.73,Ideal,G,VS1,62,55,3342,5.74,5.79,3.58
1.04,Very Good,D,SI1,58.9,58,6138,6.66,6.69,3.93
0.76,Very Good,G,VVS2,62.3,57,3549,5.79,5.84,3.62
0.51,Ideal,F,SI1,61.7,56,1394,5.12,5.15,3.17
0.29,Fair,F,SI1,55.8,60,1776,4.48,4.41,2.48
0.57,Very Good,F,SI2,63.5,56,1397,5.28,5.25,3.34
1.01,Fair,H,SI1,66.4,57,3546,6.12,6.08,4.05
0.43,Good,D,SI1,63.4,55,774,4.78,4.84,3.05
0.54,Ideal,H,VVS1,61.3,56,1875,5.23,5.27,3.22
0.72,Very Good,E,VS2,59.8,57,3270,5.84,5.89,3.51
0.71,Ideal,F,VVS1,61.7,56,5019,5.73,5.77,3.55
1.23,Premium,I,SI1,59.6,60,5648,6.96,6.93,4.14
1.02,Ideal,H,VVS2,62.1,56,6797,6.5,6.45,4.02
0.3,Ideal,H,SI1,61.9,54,514,4.31,4.34,2.68
1.01,Premium,I,SI2,60.5,60,4072,6.52,6.5,3.94
0.71,Good,I,VS1,63.3,56,2306,5.65,5.69,3.59
0.59,Very Good,I,VS2,61.2,57,1445,5.4,5.42,3.31
0.23,Very Good,E,VVS1,61.3,60,530,3.95,4.01,2.44
1.07,Ideal,F,SI2,62,57,4764,6.6,6.49,4.06
1.5,Premium,I,SI2,61.2,59,7476,7.39,7.36,4.51
1.01,Ideal,G,VS2,61.7,57,6104,6.48,6.45,3.99
0.31,Premium,G,VS1,62.1,58,695,4.36,4.31,2.69
1.3,Very Good,G,VS1,62.5,58,10654,6.9,6.95,4.33
0.87,Very Good,D,SI1,60.2,60,3664,6.12,6.17,3.7
0.3,Ideal,F,VVS2,61.8,57,694,4.28,4.33,2.66
0.31,Ideal,F,IF,61.9,54,901,4.38,4.41,2.72
0.5,Ideal,E,VVS2,61.1,57,2165,5.13,5.15,3.14
0.52,Ideal,I,VS2,61.5,56,1214,5.19,5.21,3.2
0.54,Ideal,F,VS2,61.4,57,1786,5.25,5.2,3.21
0.3,Fair,E,VVS2,51,67,945,4.67,4.62,2.37
0.39,Very Good,G,VS2,63.3,57,1009,4.65,4.61,2.93
0.74,Ideal,I,VVS2,61.3,57,3130,5.82,5.85,3.57
0.34,Ideal,E,VVS1,62,56,1014,4.48,4.52,2.79
0.32,Ideal,H,VVS1,61.9,55,730,4.37,4.38,2.71
1.18,Very Good,H,SI1,62.6,55,5674,6.76,6.79,4.24
1.28,Premium,I,SI1,62.6,55,6093,6.97,6.93,4.35
0.35,Ideal,F,VS2,60.5,57,706,4.52,4.6,2.76
1.21,Very Good,I,VS1,61.2,58,5866,6.85,6.91,4.21
1.56,Ideal,I,VS1,61.2,59,10399,7.43,7.5,4.57
1.01,Premium,H,SI1,62.5,59,4642,6.44,6.33,3.99
1.22,Premium,G,I1,59.2,60,2699,6.97,6.9,4.1
0.5,Fair,E,SI1,65.1,58,1114,5.04,4.94,3.25
1.27,Premium,J,SI1,61.8,58,5121,6.97,6.91,4.29
1.01,Very Good,F,SI1,62.1,57,4969,6.41,6.48,4
1.04,Ideal,G,SI2,60.7,57,4455,6.61,6.51,3.98
0.9,Very Good,H,VS1,62.5,58,4328,6.08,6.14,3.82
1.71,Ideal,J,VVS2,61.6,59,10945,7.65,7.68,4.72
1.01,Ideal,H,SI2,62,57,4825,6.4,6.43,3.98
0.7,Very Good,G,VS1,61.9,57,3127,5.68,5.71,3.53
1.16,Ideal,G,SI2,61.9,56,4880,6.73,6.77,4.18
0.31,Very Good,G,VS1,61.6,56,640,4.35,4.38,2.69
0.7,Premium,F,SI2,58.4,61,1966,5.86,5.79,3.4
2.01,Ideal,H,SI1,62.8,54,18186,8.03,8.08,5.05
1.2,Ideal,H,VS1,62.5,57,6814,6.81,6.73,4.23
1.08,Premium,D,VS2,61.2,60,7683,6.61,6.63,4.05
1.03,Ideal,G,VS1,62,54.8,6913,6.46,6.5,4.02
1.55,Ideal,I,SI2,60.7,60,8056,7.49,7.46,4.54
1.23,Ideal,I,SI1,61.1,58,6183,6.86,6.91,4.21
0.7,Ideal,E,SI1,62.6,55,2656,5.62,5.66,3.53
0.52,Ideal,E,SI1,60.9,57,1713,5.17,5.2,3.16
0.36,Premium,D,SI2,60.9,58,689,4.63,4.6,2.81
0.38,Premium,G,VS2,60.1,61,983,4.66,4.63,2.79
0.55,Very Good,D,VVS1,61.5,56,2815,5.23,5.27,3.23
0.3,Ideal,J,VS2,61.9,56,630,4.33,4.3,2.67
0.87,Premium,J,SI1,61.4,57,2321,6.17,6.14,3.78
0.33,Premium,G,VVS2,61.3,59,927,4.45,4.42,2.72
1.52,Ideal,I,VS1,62.4,57,10641,7.32,7.36,4.58
1.01,Very Good,H,VS2,63.2,58,5260,6.34,6.26,3.98
1,Good,H,SI1,57.9,54,4469,6.68,6.62,3.85
1.5,Very Good,H,SI2,62.1,59,7365,7.24,7.28,4.51
1.01,Fair,I,SI2,68.1,59,3054,6.14,6.11,4.17
1.19,Ideal,D,SI2,60.4,55,5504,6.91,6.89,4.17
1.59,Very Good,I,VS2,60.5,63,10106,7.52,7.45,4.53
1.06,Ideal,I,SI2,61.3,56,4167,6.59,6.55,4.03
1.2,Ideal,G,VS1,62.3,56,8596,6.82,6.77,4.23
0.41,Ideal,E,VS2,61.6,55,999,4.79,4.75,2.94
0.31,Ideal,G,VS2,61.6,55,698,4.39,4.37,2.7
1.65,Premium,D,SI1,60.4,60,11310,7.63,7.58,4.59
0.24,Very Good,D,VVS2,58.8,58,521,4.05,4.08,2.39
1.11,Very Good,I,SI2,62.5,58,4442,6.59,6.65,4.14
2.06,Premium,I,SI1,60.8,60,15494,8.25,8.16,4.99
0.77,Ideal,E,SI1,62.5,56,3000,5.87,5.91,3.68
1.1,Premium,I,SI1,60.4,61,4312,6.73,6.69,4.05
2.01,Ideal,H,SI1,61.6,57,17403,8.1,8.04,4.97
0.51,Very Good,H,VS2,60.8,58,1414,5.12,5.17,3.13
0.34,Ideal,H,IF,61.9,53,863,4.5,4.52,2.79
1.61,Premium,I,VS2,58.4,59,9341,7.73,7.68,4.5
0.5,Very Good,H,SI1,63.5,56,1089,5.01,5.04,3.19
0.41,Good,F,I1,63.8,57,646,4.72,4.69,3
0.59,Very Good,F,SI1,63,56,1424,5.3,5.34,3.35
0.42,Premium,D,SI2,60,61,898,4.89,4.85,2.92
0.32,Premium,H,VS2,61.7,59,505,4.35,4.4,2.7
0.24,Very Good,E,VS2,63.1,56,419,3.95,3.98,2.5
1.5,Premium,F,VS2,62.4,57,13333,7.38,7.29,4.58
1.8,Good,F,SI2,57.9,58,12196,8.08,8.13,4.69
0.71,Very Good,E,VS2,64,57,2804,5.66,5.68,3.63
1.12,Very Good,I,SI1,61.7,58.1,4724,6.6,6.66,4.09
1.23,Premium,I,VS2,61.7,58,5622,6.87,6.85,4.23
1.16,Premium,G,VVS1,61.6,55,11717,6.85,6.72,4.18
0.65,Premium,G,SI1,61.9,58,1612,5.54,5.51,3.42
1.09,Premium,H,SI1,59.8,60,5335,6.72,6.66,4
1.5,Very Good,J,VS2,60.5,63,7177,7.27,7.32,4.41
0.52,Ideal,D,VS2,62.6,56,1919,5.14,5.11,3.21
1.71,Ideal,H,VS2,61.9,57,9618,7.67,7.61,4.73
0.46,Good,F,IF,56.2,61,1806,5.16,5.24,2.92
0.77,Ideal,G,VS2,61.8,54,3300,5.91,5.94,3.66
0.71,Ideal,I,VVS2,60.7,57,3007,5.76,5.8,3.51
0.35,Ideal,F,VS2,62.4,57,906,4.51,4.5,2.81
1.74,Ideal,G,VS2,61.7,56,16316,7.72,7.68,4.75
2.2,Premium,I,VS2,62,57,18364,8.38,8.34,5.18
0.7,Premium,D,SI1,61.4,59,2218,5.67,5.64,3.47
0.31,Ideal,G,VVS2,62.2,55,565,4.32,4.36,2.7
0.42,Ideal,E,VS1,61.6,57,1181,4.84,4.8,2.97
0.51,Ideal,D,VVS2,61.3,57,2742,5.17,5.14,3.16
0.43,Ideal,F,VVS1,60.3,59,1261,4.89,4.93,2.96
0.31,Ideal,G,SI2,62,54,436,4.38,4.42,2.73
0.37,Ideal,F,VVS2,60.5,60,876,4.65,4.67,2.82
1.16,Ideal,J,SI1,60.7,57,4028,6.83,6.77,4.13
1,Very Good,D,SI2,63.5,59,4295,6.35,6.32,4.02
0.71,Ideal,G,VS1,60.9,56.6,3123,5.75,5.79,3.52
0.44,Premium,H,SI2,59.3,60,759,5.01,4.98,2.96
0.7,Good,E,SI2,63.7,61,2192,5.6,5.64,3.58
0.31,Very Good,G,VS2,63.2,58,651,4.3,4.28,2.71
0.79,Good,H,SI2,59.2,58,2346,6.05,6.07,3.59
1.02,Very Good,H,SI2,62.4,59,3927,6.37,6.42,3.99
0.34,Ideal,F,VS1,62.2,56,745,4.44,4.47,2.77
0.26,Premium,E,VVS1,61.7,59,599,4.1,4.14,2.54
0.71,Good,E,SI2,57.5,58,1783,5.91,5.89,3.39
0.57,Ideal,H,SI2,62.3,56,1077,5.31,5.28,3.3
0.38,Good,E,VS2,63.2,57,693,4.59,4.62,2.91
0.51,Very Good,D,SI2,62.8,57,1264,5.1,5.12,3.21
0.57,Very Good,F,VVS2,60.7,58,2351,5.32,5.35,3.24
1.11,Ideal,I,SI1,61.7,57,6090,6.61,6.64,4.09
1.29,Premium,G,SI2,61.1,59,6116,7.03,6.95,4.27
0.33,Premium,F,VS2,60,60,577,4.45,4.49,2.68
1.01,Good,D,SI2,63.9,57,4588,6.29,6.36,4.04
0.38,Premium,H,SI1,61.2,62,812,4.66,4.62,2.84
0.9,Premium,G,SI1,61.9,59,3669,6.18,6.13,3.81
0.7,Ideal,D,VVS2,62,53.4,4369,5.69,5.72,3.54
0.8,Ideal,H,SI1,61,57,2818,6.07,6,3.68
0.3,Premium,F,IF,60.7,58,947,4.33,4.37,2.64
0.3,Ideal,F,SI1,61.9,54,475,4.33,4.36,2.69
0.91,Very Good,E,SI2,60.3,59,3638,6.28,6.25,3.78
1.09,Ideal,H,SI1,61.9,56,4784,6.61,6.64,4.1
0.72,Ideal,F,VS1,61.5,56,3759,5.74,5.77,3.53
0.7,Fair,H,SI1,65.3,55,1865,5.58,5.54,3.63
0.53,Ideal,E,VS2,62.7,54,1813,5.18,5.15,3.24
0.3,Premium,D,SI1,61.7,59,709,4.31,4.28,2.65
1.01,Premium,H,SI1,62.3,58,4513,6.42,6.35,3.98
0.34,Ideal,G,VS2,62.5,57,765,4.5,4.46,2.8
0.3,Ideal,H,SI1,60.9,58,450,4.31,4.33,2.63
0.4,Ideal,F,VVS1,60.7,56,1323,4.79,4.77,2.9
1.01,Ideal,J,SI2,59,59,3982,6.57,6.61,3.89
0.32,Premium,G,VVS2,60.2,60,730,4.42,4.45,2.67
1.01,Fair,E,SI2,60,60,3801,6.48,6.38,3.86
0.91,Premium,F,SI2,61.4,60,3618,6.23,6.21,3.82
1.01,Ideal,G,VS2,60.6,58,6295,6.44,6.5,3.92
0.9,Good,E,SI2,59.9,61,3660,6.16,6.2,3.7
1.5,Premium,J,SI2,61.4,61,6750,7.36,7.3,4.5
0.41,Premium,E,VS2,59.8,60,999,4.87,4.83,2.9
2.01,Ideal,I,SI1,62.4,54,12617,8.04,7.96,5
1.13,Ideal,E,VVS2,61.6,56,11115,6.69,6.71,4.13
0.5,Premium,G,VS1,62.5,60,1746,5.08,5.06,3.17
1.09,Premium,D,SI2,62.2,59,4682,6.49,6.46,4.03
0.32,Premium,F,VS2,61.1,58,828,4.42,4.39,2.69
0.31,Premium,G,VVS2,62.2,59,707,4.32,4.36,2.7
0.7,Premium,J,VS2,62,62,1775,5.63,5.59,3.48
0.27,Ideal,G,VS2,61.5,56,490,4.16,4.18,2.56
0.52,Very Good,I,VVS2,61.9,56,1289,5.16,5.18,3.2
0.42,Ideal,I,VVS2,61.2,57,1299,4.83,4.87,2.97
1.03,Ideal,E,VVS2,61.7,56,11611,6.49,6.51,4.01
0.73,Premium,F,SI2,61.6,58,2309,5.79,5.73,3.55
0.71,Very Good,G,SI1,63.1,60,2240,5.6,5.69,3.56
0.3,Good,E,VVS1,61.5,62,702,4.28,4.34,2.65
0.55,Ideal,G,VS1,61.6,55,1881,5.32,5.29,3.27
1.08,Very Good,E,SI2,59.5,59,4840,6.71,6.78,4.01
1.07,Premium,F,VS2,61.6,60,5974,6.56,6.53,4.03
0.35,Ideal,E,VVS1,61.3,56,916,4.52,4.55,2.78
0.3,Ideal,D,SI1,61.6,56,709,4.34,4.3,2.66
0.5,Very Good,H,VS1,61.6,57,1598,5.11,5.13,3.15
0.9,Premium,G,SI1,62.7,59,3774,6.14,6.1,3.84
0.76,Ideal,F,SI2,61.1,55,2469,5.9,5.94,3.62
0.53,Very Good,F,SI1,60.9,56,1291,5.21,5.23,3.18
1,Premium,G,VVS1,62.9,53,7848,6.39,6.32,4
